,Ticker,Name,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
101,AITG,Assiut Islamic Tradi,5.90,0.00%,383.50,65,5.90,5.90,5.90,2018-04-22 10:46:09
102,DEIN,Delta Insurance,17.82,0.00%,"17,820.00","1,000",19.80,17.82,17.82,2018-04-22 10:21:55
103,ICLE,Incolease,104.00,0.00%,728.00,7,106.99,104.00,104.00,2017-06-15 09:30:04
104,MFSC,Egypt Free Shops,6.76,0.00%,"1,521.00",225,7.01,6.76,6.76,2018-04-22 08:38:27
105,SCTS,Suez Canal Co for Te,11.25,0.00%,"11,275.00","1,000",12.15,11.30,11.25,2018-04-22 11:04:05
106,EBSC,Osool ESB Securities,5.61,0.00%,"5,610.00","1,000",6.23,5.61,5.61,2018-04-12 12:23:57
107,ECAP,Gemma,9.65,0.00%,"2,151,117.75","220,565",9.75,9.95,9.60,2018-04-22 12:29:20
108,ALEX,Alexandria Cement,7.65,0.00%,"11,593.75","1,495",7.55,7.98,7.65,2018-04-19 11:05:16
109,CERA,Remas,3.46,0.00%,"1,389,288.13","402,659",3.45,3.49,3.41,2018-04-22 12:29:59
110,EASB,EAC,1.12,0.00%,"274,337.78","244,155",1.12,1.14,1.11,2018-04-22 12:29:26
111,RMTV,Rowad Misr,480.75,0.00%,"4,807.50",10,480.75,480.75,480.75,2012-03-22 12:16:01
112,MIPH,Minapharm Pharmaceut,104.75,0.00%,"1,811.33",20,99.74,104.75,89.82,2018-04-17 10:36:48
113,ICID,International Co for,12.29,0.00%,"13,623.75","1,119",12.22,12.29,12.00,2018-04-22 09:40:08
114,ROTO,Al Rowad,11.09,0.00%,"21,008.60","1,947",10.60,11.20,10.65,2018-04-22 11:17:55
115,FAITA,Faisal Islamic Bank,1.08,0.00%,"675,622.00","35,474",1.08,1.08,1.07,2018-04-22 12:04:10
116,SAIB,Societe Arabe Intern,11.00,0.00%,"19,403.00",100,10.90,11.00,11.00,2018-04-02 08:00:00
117,IRAX,Al Ezz Dekheila Stee,"1,125.00",0.00%,"24,471.02",21,"1,163.97","1,172.00","1,100.02",2018-04-22 12:08:22
118,SMPP,Modern Shorouk Print,30.53,0.00%,"3,051.65",100,27.76,30.53,30.50,2018-04-22 08:36:38
119,GIHD,Gharbia Islamic Hous,7.06,0.00%,"14,871.86","2,041",7.50,7.49,7.06,2018-04-19 10:14:05
120,RUBX,Rubex,7.21,0.00%,"1,982.75",275,7.38,7.21,7.21,2018-04-22 12:14:16
121,WCDF,Middle & West Delta,153.05,0.00%,"9,168.00",60,161.18,153.05,152.55,2018-04-22 12:13:57
122,SCFM,South Cairo & Giza F,31.10,0.00%,"3,107.50",100,33.91,31.10,31.05,2018-04-22 12:27:39
123,AFMC,Alexandria Flour Mil,18.22,0.00%,"382,271.91","20,878",18.31,18.44,18.17,2018-04-22 12:29:52
124,PHTV,Pyramisa,27.90,0.00%,"7,393.50",265,27.53,27.90,27.90,2018-04-19 08:56:26
125,SMCS,Samcrete Misr,"1,362.00",0.00%,"95,340.00","23,616",17.55,17.55,17.55,2010-10-10 00:00:00
126,SNFC,Sharkia National Foo,4.80,0.00%,"20,506.15","4,269",4.67,4.81,4.80,2018-04-22 11:54:39
127,MOSC,Misr Oils & Soap,29.00,0.00%,"9,425.00",325,31.35,29.00,29.00,2018-04-22 12:27:18
128,EDFM,East Delta Flour Mil,113.00,0.00%,"9,655.00",85,115.44,115.00,113.00,2018-04-22 12:14:31
129,HDBK,Housing & Developmen,53.65,0.00%,"912,608.38","16,906",53.98,54.00,53.50,2018-04-22 12:26:37
130,MRCO,Miraco,121.99,0.00%,121.99,1,119.16,121.99,121.99,2018-02-07 09:43:35
131,CIRF,Cairo Development &,4.03,0.00%,92.69,23,3.93,4.03,4.03,2018-04-19 12:04:11
132,WKOL,Wadi Kom Ombo,8.50,0.00%,"8,075.00",950,8.52,8.50,8.50,2018-04-22 12:18:03
133,GPPL,Golden Pyramids Plaz,1.24,0.00%,417.00,19,1.15,1.24,1.24,2018-04-17 11:27:27
134,PRMH,Prime Holding,3.97,0.00%,"8,941.50","2,250",4.38,3.99,3.96,2018-04-22 10:46:38
135,SEIG,Saudi Egyptian Inves,50.52,0.00%,"4,131.72",81,51.41,51.51,50.52,2018-04-19 11:16:40
136,SPHT,El Shams Pyramids,2.61,0.00%,924.00,20,2.89,2.61,2.61,2018-04-22 10:27:15
137,EOSB,El Orouba Securities,0.68,0.00%,"13,874.72","20,404",0.68,0.68,0.68,2018-04-22 11:25:57
138,EITP,Egyptian Co for Inte,3.02,0.00%,"3,020.00","1,000",3.32,3.02,3.02,2018-04-19 09:39:40
139,ELKA,El Kahera Housing,15.31,0.00%,15.31,1,15.61,15.31,15.31,2018-04-19 09:50:35
140,DTPP,Delta for Printing &,8.75,0.00%,"5,862.50",670,8.99,8.75,8.75,2018-04-22 10:04:10
141,NDRL,National Drilling,3.85,0.00%,"1,551,576.00","22,769",3.85,3.85,3.85,2018-04-22 12:13:36
142,CAED,Cairo Educational Se,7.25,0.00%,"2,175.00",300,7.25,7.25,7.25,2018-04-22 08:38:44
143,NBKE,NBK,39.62,0.00%,"3,504.95",85,41.73,41.45,39.62,2018-04-22 11:31:15
144,GRCA,Grand Investment Cap,4.60,0.00%,"1,702.00",370,4.94,4.60,4.60,2018-04-22 12:22:51
145,JUFO,Juhayna,13.00,0.00%,"830,080.19","63,839",13.00,13.20,12.77,2018-04-22 12:25:59
146,EALR,El Arabia for Land R,8.19,0.00%,"8,190.67","1,000",9.07,8.20,8.19,2018-04-22 11:06:41
147,AREHA,Real Estate Egyptian,10.96,0.00%,"4,386.00",400,11.72,10.97,10.96,2018-04-22 11:57:01
148,MFIN,MFIC,0.71,0.00%,"2,768,615.25","3,899,458",0.71,0.71,0.71,2011-07-25 08:52:01
149,NCIN,Nile City Investment,344.28,0.00%,"17,214.00",50,344.28,344.28,344.28,2016-04-10 09:05:28
150,MEGM,Middle East Glass Ma,12.54,0.00%,"18,621.90","1,485",12.54,12.54,12.54,2018-04-11 11:50:12
151,GTWL,Goldentex,5.80,0.00%,921.50,150,6.22,6.83,5.80,2018-04-22 08:58:19
152,KABO,KABO,2.09,0.00%,"1,980,589.13","941,959",2.10,2.13,2.08,2018-04-22 12:29:59
153,NCMP,National Co for Maiz,45.12,0.00%,947.52,21,50.13,45.12,45.12,2018-04-02 12:16:34
154,UTOP,Utopia,7.66,0.00%,"5,487.40",640,9.56,8.83,7.66,2018-04-19 11:42:55
155,PTCC,Pharaoh Tech,15.45,0.00%,154.50,10,16.26,15.45,15.45,2018-04-02 10:17:05
156,EBDP,El Badr Plastic,0.58,0.00%,"2,888.40","4,980",0.59,0.58,0.58,2018-04-22 09:07:06
157,AMPI,Al Moasher,0.34,0.00%,"18,074.06","53,159",0.35,0.34,0.34,2018-04-22 08:41:49
158,AMEC,Ameco Medical,18.38,0.00%,"9,925.20",540,17.51,18.38,18.38,2016-04-14 00:00:00
159,AOTM,Al Orouba Mining & T,41.53,0.00%,"20,765.00",500,41.53,41.53,41.53,2015-03-26 11:07:07
160,BIGP,Barbary Investment G,0.50,0.00%,"6,250.00","12,500",0.52,0.50,0.50,2018-04-19 09:35:57
161,RIVA,Riva Pharma,7.00,0.00%,"197,400.00","28,200",7.00,7.00,7.00,2014-08-28 07:21:58
162,MISR,EGYSTONE,5.25,0.00%,"4,037.25",769,5.00,5.25,5.25,2018-01-09 11:07:00
163,PSAD,Port Said Agricultur,0.95,0.00%,"3,101.60","3,328",0.95,0.95,0.93,2018-03-07 12:12:10
164,MAAL,Marseilia,2.47,0.00%,"2,484.82","1,006",2.59,2.47,2.47,2018-04-17 09:50:09
165,NOAF,Nest,0.99,0.00%,"24,948.99","25,201",0.97,0.99,0.99,2018-04-22 12:24:09
166,FNAR,Al Fanar Constructio,1.00,0.00%,"11,129.00","11,129",1.05,1.00,1.00,2018-04-19 11:20:33
