,Ticker,Close Price,Change %,Traded Value,Volume,Bid Price,Day High,Day Low,Date
85,Incolease,104.00,0.00%,728.00,7,106.99,104.00,104.00,2017-06-15 09:30:04
86,Egypt Free Shops,7.00,0.00%,"3,940.00",562,7.01,7.03,7.00,2018-04-19 10:06:51
87,Suez Canal Co for Te,10.94,0.00%,"10,119.70",900,12.15,11.31,10.94,2018-04-19 09:42:41
88,Osool ESB Securities,5.61,0.00%,"5,610.00","1,000",6.23,5.61,5.61,2018-04-12 12:23:57
89,Alexandria Cement,7.65,0.00%,"11,593.75","1,495",7.55,7.98,7.65,2018-04-19 11:05:16
90,Lecico,6.60,0.00%,"9,900.00","1,500",6.54,6.60,6.60,2018-04-19 12:08:19
91,GMC,0.90,0.00%,"131,928.45","145,206",0.91,0.92,0.90,2018-04-19 12:28:11
92,Rowad Misr,480.75,0.00%,"4,807.50",10,480.75,480.75,480.75,2012-03-22 12:16:01
93,Minapharm Pharmaceut,104.75,0.00%,"1,811.33",20,99.74,104.75,89.82,2018-04-17 10:36:48
94,International Co for,11.60,0.00%,"3,480.00",300,12.22,11.60,11.60,2018-04-19 09:30:47
95,Egyptian Gulf Bank,0.95,0.00%,"8,407.00",500,0.94,0.95,0.95,2018-04-19 12:26:50
96,Faisal Islamic Bank,1.08,0.00%,"876,896.00","45,824",1.08,1.09,1.08,2018-04-19 12:27:23
97,Societe Arabe Intern,11.00,0.00%,"19,403.00",100,10.90,11.00,11.00,2018-04-02 08:00:00
98,Al Ezz Dekheila Stee,"1,198.00",0.00%,"5,982.00",5,"1,163.97","1,198.00","1,190.00",2018-04-19 12:03:58
99,Modern Shorouk Print,29.00,0.00%,"14,497.75",500,27.76,29.00,28.99,2018-04-19 09:53:59
100,October Pharma,64.01,0.00%,"17,794.10",280,63.89,64.01,63.02,2018-04-19 09:55:19
101,Gharbia Islamic Hous,7.06,0.00%,"14,871.86","2,041",7.50,7.49,7.06,2018-04-19 10:14:05
102,Rubex,7.21,0.00%,"5,589.25",775,7.38,7.22,7.20,2018-04-19 11:59:21
103,Trans Oceans Tours,0.07,0.00%,"63,340.00","51,127",0.07,0.07,0.07,2018-04-19 10:46:29
104,Pyramisa,27.90,0.00%,"7,393.50",265,27.53,27.90,27.90,2018-04-19 08:56:26
105,National Co for Hous,26.75,0.00%,214.00,8,27.09,26.75,26.75,2018-04-19 08:08:14
106,Samcrete Misr,"1,362.00",0.00%,"95,340.00","23,616",17.55,17.55,17.55,2010-10-10 00:00:00
107,Sharkia National Foo,4.73,0.00%,"84,140.22","18,021",4.67,4.73,4.63,2018-04-19 12:29:10
108,Miraco,121.99,0.00%,121.99,1,119.16,121.99,121.99,2018-02-07 09:43:35
109,Cairo Development &,4.03,0.00%,92.69,23,3.93,4.03,4.03,2018-04-19 12:04:11
110,Golden Pyramids Plaz,1.24,0.00%,417.00,19,1.15,1.24,1.24,2018-04-17 11:27:27
111,Prime Holding,4.27,0.00%,"21,006.20","5,100",4.38,4.27,4.00,2018-04-19 12:29:50
112,Saudi Egyptian Inves,50.52,0.00%,"4,131.72",81,51.41,51.51,50.52,2018-04-19 11:16:40
113,El Shams Pyramids,2.61,0.00%,"1,386.00",30,2.89,2.61,2.61,2018-04-19 12:25:44
114,Egyptian Co for Inte,3.02,0.00%,"3,020.00","1,000",3.32,3.02,3.02,2018-04-19 09:39:40
115,Unirab,3.00,0.00%,"275,662.47","93,050",2.96,3.00,2.93,2018-04-19 12:29:28
116,EKH,1.08,0.00%,"19,952,931.00","1,035,048",1.09,1.09,1.08,2018-04-19 12:29:51
117,El Kahera Housing,15.31,0.00%,15.31,1,15.61,15.31,15.31,2018-04-19 09:50:35
118,EGYFERT,5.43,0.00%,"239,165.16","43,602",5.49,5.52,5.43,2018-04-19 12:24:16
119,Delta for Printing &,8.58,0.00%,"24,578.70","2,820",8.99,8.80,8.58,2018-04-19 12:27:47
120,El Kahera El Watania,3.96,0.00%,"3,168.00",800,4.40,3.96,3.96,2018-04-19 09:30:22
121,Cairo Educational Se,7.25,0.00%,"17,943.75","2,475",7.25,7.25,7.25,2018-04-19 11:50:03
122,Grand Investment Cap,4.94,0.00%,"124,996.82","25,303",4.94,4.94,4.94,2018-04-15 12:25:21
123,Arab Engineering Ind,4.40,0.00%,"4,263.60",969,4.63,4.40,4.40,2018-04-19 10:05:10
124,Arabia Investments,0.75,0.00%,"755,679.88","1,009,634",0.75,0.76,0.74,2018-04-19 12:27:46
125,El Arabia for Land R,8.25,0.00%,"25,520.00","3,100",9.07,8.25,8.20,2018-04-19 11:08:22
126,Real Estate Egyptian,11.60,0.00%,"5,568.00",480,11.72,11.60,11.60,2018-04-19 08:45:53
127,MFIC,0.71,0.00%,"2,768,615.25","3,899,458",0.71,0.71,0.71,2011-07-25 08:52:01
128,Nile City Investment,344.28,0.00%,"17,214.00",50,344.28,344.28,344.28,2016-04-10 09:05:28
129,Middle East Glass Ma,12.54,0.00%,"18,621.90","1,485",12.54,12.54,12.54,2018-04-11 11:50:12
130,Goldentex,6.84,0.00%,"6,840.00","1,000",6.22,6.84,6.84,2018-04-17 10:02:27
131,Ataqa,55.99,0.00%,"25,994.41",464,56.11,58.50,55.99,2018-04-19 11:59:18
132,Extracted Oils,1.61,0.00%,"1,624,030.63","1,007,821",1.61,1.64,1.60,2018-04-19 12:29:42
133,SPINALEX,2.17,0.00%,"29,025.99","13,637",2.13,2.17,2.11,2018-04-19 12:29:54
134,National Co for Maiz,45.12,0.00%,947.52,21,50.13,45.12,45.12,2018-04-02 12:16:34
135,National Real Estate,7.78,0.00%,"305,234.00","39,138",7.80,7.85,7.78,2018-04-19 12:29:23
136,Egyptian Resorts,2.22,0.00%,"67,470,704.00","30,720,083",2.20,2.23,2.13,2018-04-19 12:29:57
137,Utopia,7.66,0.00%,"5,487.40",640,9.56,8.83,7.66,2018-04-19 11:42:55
138,Pharaoh Tech,15.45,0.00%,154.50,10,16.26,15.45,15.45,2018-04-02 10:17:05
139,El Badr Plastic,0.58,0.00%,"8,075.02","14,009",0.59,0.58,0.57,2018-03-28 10:49:35
140,El Dawlia Fertilizer,1.25,0.00%,"24,551.00","19,620",1.25,1.26,1.24,2018-04-19 11:30:59
141,Al Moasher,0.34,0.00%,"24,072.00","70,800",0.35,0.34,0.34,2018-04-19 11:31:29
142,Ameco Medical,18.38,0.00%,"9,925.20",540,17.51,18.38,18.38,2016-04-14 00:00:00
143,Al Orouba Mining & T,41.53,0.00%,"20,765.00",500,41.53,41.53,41.53,2015-03-26 11:07:07
144,Barbary Investment G,0.50,0.00%,"6,250.00","12,500",0.52,0.50,0.50,2018-04-19 09:35:57
145,Riva Pharma,7.00,0.00%,"197,400.00","28,200",7.00,7.00,7.00,2014-08-28 07:21:58
146,EGYSTONE,5.25,0.00%,"4,037.25",769,5.00,5.25,5.25,2018-01-09 11:07:00
147,Port Said Agricultur,0.95,0.00%,"3,101.60","3,328",0.95,0.95,0.93,2018-03-07 12:12:10
148,Marseilia,2.47,0.00%,"2,484.82","1,006",2.59,2.47,2.47,2018-04-17 09:50:09
149,Nest,0.99,0.00%,"18,589.77","19,041",0.97,0.99,0.97,2018-04-19 11:52:47
150,El Wadi,7.80,0.00%,"1,762,459.63","227,715",7.74,7.81,7.68,2018-04-19 12:29:57
151,Al Fanar Constructio,1.00,0.00%,"11,129.00","11,129",1.05,1.00,1.00,2018-04-19 11:20:33
152,IBC,3.15,0.00%,31.50,10,3.18,3.15,3.15,2018-04-02 11:03:15
153,Vertika,1.93,0.00%,"7,596.48","3,936",2.03,1.93,1.93,2018-03-15 08:38:33
154,Integrated Engineeri,0.40,0.00%,"7,100.00","18,000",0.40,0.40,0.39,2018-04-19 12:27:52
155,MB,0.90,0.00%,"4,609.00","5,010",0.94,0.92,0.90,2018-04-19 11:37:39
156,Porto Group,0.37,0.00%,"3,908,344.00","10,560,510",0.37,0.38,0.37,2018-04-19 12:29:38
157,Arabian Rocks Plasti,0.27,0.00%,"39,182.50","149,750",0.26,0.27,0.26,2018-04-19 11:26:57
158,Al Salam,2.36,0.00%,"10,050.30","4,201",2.58,2.55,2.35,2018-04-17 10:19:10
159,EIPICO,141.99,-0.06%,"6,102,233.50","43,000",141.99,141.99,141.50,2018-04-19 08:51:01
160,Edita,18.50,-0.11%,"2,481,969.50","134,167",18.52,18.50,18.26,2018-04-19 11:02:21
161,Arab Cotton Ginning,6.40,-0.16%,"20,577,538.00","3,205,288",6.43,6.48,6.37,2018-04-19 12:29:53
162,Alexandria Flour Mil,18.24,-0.22%,"271,055.41","14,806",18.35,18.67,18.05,2018-04-19 12:29:18
163,Abu Dhabi Islamic Ba,16.20,-0.25%,"6,909,417.00","427,737",16.19,16.50,15.92,2018-04-19 12:29:56
164,Credit Agricole,48.90,-0.27%,"964,078.06","19,726",49.00,49.00,48.50,2018-04-19 12:24:11
